all,sb,arm,drive
23.52,7.34,10.46,38.73
18.36,7.01,12.15,47.57
27.83,6.96,3.17,52.89
18.01,5.24,13.95,31.63
7.11,8.67,17.5,28.62
9.93,16.57,30.74,41.81
27.59,5.31,51.57,55.11
6.61,18.65,3.33,39.01
10.29,13.7,14.65,62.28
35.25,30.38,9.85,74.6
42.52,7.24,34.9,25.22
42.4,3.22,42.38,31.41
11.9,20.41,5.76,37.25
19.7,7.68,3.17,7.55
10.99,17.4,24.55,37.58
20.5,2.97,8.06,44.56
54.16,19.2,16.66,48.87
3.11,29.59,34.49,42.13
28.53,11.1,8.15,27.04
32.93,29.6,7.2,29.14
31.43,13.49,22.05,26.33
26.57,24.42,3.17,39.58
33.24,29.68,18.81,17.94
40.89,13.22,41.11,43.1
18.46,29.77,6.51,32.07
18.69,9.67,46.36,37.41
39.49,10.23,33.02,18.27
24.82,2.44,12.6,29.49
6.39,25.8,11.18,36.35
18.16,12.11,14.9,59.02
2.45,48.55,7.43,38.07
16.7,2.79,10.86,42.23
9.69,17.86,21.22,40.12
1.85,27.05,31.8,25.65
35.61,10.65,4.3,32.43
29.82,19.69,17.25,39.41
15.94,3.61,31.8,22.98
32.66,10.76,25.2,58.72
4.25,12.6,33.99,42.16
23.53,12.95,28.77,42.64
8.37,32.92,11.49,31.2
34.03,18.75,20.92,8.38
33.38,10.59,30.51,24.92
24.27,9.99,15.08,47.21
29.38,28.63,35.68,7.52
11.41,28.36,20.26,40.87
32.49,2.49,16.67,11.16
27.07,29.94,9.48,41.03
12.41,1.4,34.24,94.14
22.58,6.39,19.51,33.89
30.76,12.9,56.93,43.82
63.02,22.81,14.89,22.46
32.81,15.65,63.33,27.8
35,17.82,7.42,36.44
42.57,11.13,34.07,49.72
12.35,28.03,8.43,41.13
57.15,15.81,41.39,25.41
28.99,17.38,8.26,46.1
44.62,17.23,22.52,40.71
15.97,7.75,33.12,7.28
5.71,14.46,26.17,190.25
25.26,14.75,21.76,30.4
28.37,12.64,27.74,55
43.83,16.29,18.07,29.06
9.71,16.08,31.68,31.2
12.22,14.89,31.72,69.34
30.89,5.18,38.16,27.62
13.1,16.95,48.49,43.62
17.55,5.07,48.72,73.39
15.01,15.45,21.9,69.11
44.03,15.25,31.41,39.84
10.84,18.13,24.11,33.25
35.05,17.87,16.74,42.46
4.59,34.11,23.61,52.79
9.33,19.3,44.29,43.17
27.66,37.3,4.12,62.95
12.11,19.64,17.42,42.68
21.79,7.32,18.31,40.17
22.36,6.91,12.95,30.42
16.22,22.32,41.4,48.55
35.4,16.92,41.2,51.71
30.56,14,10.95,41.33
19.55,12.02,14.96,70.05
8.81,11.88,8.25,37.44
29.65,22.86,22.3,46.45
26.45,14.91,11.22,13.36
8.21,7.22,5.3,41.89
17.16,27.3,28.24,10.93
22.45,12.08,4.47,30
34.43,2.29,12.59,35.95
40.52,38.67,23.87,43.66
5.86,10.9,4.15,47.16
44.95,20.31,22.18,37.28
16.91,23.06,8.14,45.44
18.58,42.94,13.56,41.17
49.33,22.53,10.71,15.04
4.34,11.83,35.22,146.5
98.54,6.57,6.38,37.41
13.98,13.5,42.98,34.64
34.9,18.03,7.6,35.33
22.64,24.1,3.94,40.41
52.37,27.55,34.24,33.82
4.9,14.69,44.36,46.02
17.5,8.61,26.84,43.78
41.64,46.62,6.99,32.3
42.97,10.03,11.62,6.5
33.51,13.8,16.86,39.68
36.02,12.08,38.24,36.09
5.33,17.86,7.63,38.71
4.15,12.7,15.61,37.22
8.18,15.19,33.37,23.22
52.17,12.57,14.18,33.97
30.73,5.15,16.16,32.68
12.21,10.28,34.8,4.28
5.65,16.66,2.63,54.03
45.17,19.3,14.92,35.26
14.5,24.49,27.61,9.66
8.71,11.73,29.32,10.84
18.95,18.72,5.4,9.52
39.95,28.7,22.67,72.33
9.98,23.39,17.94,11.42
27.86,15.36,64.11,97.16
15.67,19.6,22.36,57.97
43.64,12.4,16.87,80.72
21.27,13.24,0.54,13.27
11.28,8.65,12.04,9.85
24.47,10.86,17.89,23.07
15.05,18.35,43.08,15.64
190.3,2.02,6.31,7.27
54.24,24.98,18.76,45.74
4.63,15.93,3.14,55.94
22.51,7.61,12.52,17.77
11.21,15.51,26.51,24.09
20.87,33.21,63.11,45.24
10.03,12.1,18.76,44.06
24.18,16.09,12.42,22.5
24.48,9.32,16.68,52.52
9.38,20.73,9.01,34.82
65.15,22.22,18.89,50.03
19.74,28.81,12.03,30.4
19.15,38.86,18.35,33.98
20.48,7.49,17.42,44.44
8.24,25.6,15.96,30.44
37.97,19.79,16.79,56.73
12.44,19.63,20.32,49.63
3.02,15.1,23.78,97.65
15.64,22.71,26.48,41.86
13.75,43.01,2.26,34.75
7.34,14.14,31.4,40.44
6.02,23.38,49.11,34.14
6.02,28.87,29.01,2.88
6.02,3,14.42,5.58
7.01,12.22,16.35,43.01
6.96,8.76,53.8,39.09
5.24,12.42,70.94,56.16
8.67,17.86,15.48,50.55
6.02,1.67,11.91,35
6.02,35.87,3.45,40.64
6.02,4.86,17.42,45.18
16.57,10.2,37.3,48.38
6.85,13.14,101.24,48.26
53.67,39.67,30.9,22.98
5.31,13.64,26.61,84.83
18.65,16.8,16.87,40.3
13.7,13.9,12.32,31.64
47.09,11.32,13.08,10.99
30.38,8,50.37,28.21
130.17,21.7,143.79,14.99
7.24,11.02,85.94,32.96
3.22,21.44,50.91,36.35
38.9,50.77,32.31,32.29
20.41,10.92,4.78,35.86
52,21.25,38.73,189.35
8.91,20.41,5.54,12.28
7.68,10.75,17.85,33.02
17.4,11.65,4.07,56.63
63.11,17.79,24.01,21.57
2.97,23.74,4.28,4.42
71.39,22.73,55.2,19.65
19.2,33.35,42.86,6.53
37.83,38.24,11.45,16.53
29.59,26.6,31.84,27.28
15.8,3.63,3.57,17.35
11.1,1.94,58.66,10.26
22.78,24.01,10.37,36.96
12.33,14.18,11.74,39.78
29.6,33.17,44.5,43.97
13.49,14.62,6.99,44.97
13.86,15.16,26.42,81.6
94.04,22.09,64.96,105.41
2.98,20.29,16.89,17.96
24.42,6.83,12.01,56.6
70.63,17.9,22.88,29.49
6.37,4.16,3.78,58.69
29.68,10.23,29.85,99.22
30.23,19,7.82,52.8
13.22,17.96,3.66,31.43
29.77,5.3,17.88,35.67
9.67,23.01,19.32,46.47
10.23,16.16,40.83,59.73
2.44,19.23,21.6,38.52
4.3,3.42,22.07,9.62
25.8,2.14,16.6,19.68
12.11,18.74,18.72,31.97
9.51,7.53,21.77,5.69
48.55,9.98,20,0.74
2.79,19.46,43.91,26.59
8.55,18.85,4.38,32.65
17.86,19.31,19.59,38.68
32.17,27.46,14.73,9.03
27.05,23.05,27.49,19.47
10.65,44.09,27.84,9.04
44.71,1.27,18.41,32.67
19.69,21.28,14.41,26
19.7,32.24,19.27,18.42
3.61,25.59,7.37,11.91
33.08,12.53,23.81,37.9
10.76,13.32,28.43,5.23
10.25,13.04,7.94,58.95
46.9,22.83,3.62,107.2
62.69,7.22,27.81,161.96
12.6,31.03,10.95,65.8
24.49,5.33,50.95,140.45
12.95,28.94,32.51,48.33
32.92,20.44,8.44,49.67
18.75,10.71,61.26,66.15
103.92,27.61,18.22,47.19
10.59,14.38,25.97,37.05
38.29,29.29,13.65,46.61
26.37,11.46,37.9,84.87
