drive
31.64
86.81
24
32.78
96.61
40.27
32.94
33.39
52.19
59.84
9.75
31.32
38.2
28.75
50.24
59.67
38.33
39.83
34.83
33.82
55.24
79.34
39.3
45.29
114.77
22.22
5.73
34.13
36.57
66.4
23.58
34.03
27.07
63.02
30.89
35.05
27.66
35.4
29.65
44.95
98.54
52.37
42.97
45.17
39.95
43.64
37.97
53.67
47.09
130.17
52
46.9
62.69
103.92
38.29
26.37
33.57
31.23
33.39
26.82
36.15
28.3
52.77
22.12
84.66
29.3
30.08
29.83
35.45
44.42
35.63
39.31
70.28
63.03
34.07
43.82
42.85
17.57
91.9
24.99
18.58
44.4
44.84
32.22
35.57
58.67
105.44
34.28
53.34
39.87
50.75
50.48
39.04
31.27
47.6
45.82
45.15
37.7
59.72
10.19
47.33
41.86
48.91
59.02
43.89
44.53
40.96
30.8
44.26
43.89
33.41
54.72
35.34
40.62
34.04
27.19
34.78
36.43
28.93
60.51
101.28
40.1
112.51
32
30.19
160.55
17.67
23.24
31.77
8.73
39.29
56.39
26.98
33.3
44.28
52.82
44.99
35.83
37.67
32.63
42.59
51.7
40.84
14.93
50.92
44.87
30.37
21.42
33.83
51.2
39.59
37.83
38.31
36
34.35
119.79
37.48
26.15
40.02
48.31
78.39
34.45
20.75
34.48
40.92
17.14
27.63
35.63
48.11
41.14
57.49
57.65
12.91
44.83
39.17
29.21
36.9
48.18
67.7
35.45
75.84
38.1
34.62
38.49
38.79
32.1
44.8
46.45
56.31
42.66
36.42
50.74
30.29
26.29
41.53
91.48
41.6
58.83
26.34
70.17
38.73
47.57
52.89
31.63
28.62
41.81
55.11
39.01
62.28
74.6
25.22
31.41
37.25
7.55
37.58
44.56
48.87
42.13
27.04
29.14
26.33
39.58
17.94
43.1
32.07
37.41
18.27
29.49
36.35
59.02
38.07
42.23
40.12
25.65
32.43
39.41
22.98
58.72
42.16
42.64
31.2
8.38
24.92
47.21
7.52
40.87
11.16
41.03
94.14
33.89
43.82
22.46
27.8
36.44
49.72
41.13
25.41
46.1
40.71
7.28
190.25
30.4
55
29.06
31.2
69.34
27.62
43.62
73.39
69.11
39.84
33.25
42.46
52.79
43.17
62.95
42.68
40.17
30.42
48.55
51.71
41.33
70.05
37.44
46.45
13.36
41.89
10.93
30
35.95
43.66
47.16
37.28
45.44
41.17
15.04
146.5
37.41
34.64
35.33
40.41
33.82
46.02
43.78
32.3
6.5
39.68
36.09
38.71
37.22
23.22
33.97
32.68
4.28
54.03
35.26
9.66
10.84
9.52
72.33
11.42
97.16
57.97
80.72
13.27
9.85
23.07
15.64
7.27
45.74
55.94
17.77
24.09
45.24
44.06
22.5
52.52
34.82
50.03
30.4
33.98
44.44
30.44
56.73
49.63
97.65
41.86
34.75
40.44
34.14
2.88
5.58
43.01
39.09
56.16
50.55
35
40.64
45.18
48.38
48.26
22.98
84.83
40.3
31.64
10.99
28.21
14.99
32.96
36.35
32.29
35.86
189.35
12.28
33.02
56.63
21.57
4.42
19.65
6.53
16.53
27.28
17.35
10.26
36.96
39.78
43.97
44.97
81.6
105.41
17.96
56.6
29.49
58.69
99.22
52.8
31.43
35.67
46.47
59.73
38.52
9.62
19.68
31.97
5.69
0.74
26.59
32.65
38.68
9.03
19.47
9.04
32.67
26
18.42
11.91
37.9
5.23
58.95
107.2
161.96
65.8
140.45
48.33
49.67
66.15
47.19
37.05
46.61
84.87
48.99
72.09
86.74
46.74
26.24
41.41
33.15
35.13
67.04
37.39
18.84
58.69
48.98
9.95
36.11
50.85
42.06
35.22
39.77
79.68
69.08
30.03
43.34
39.16
41.69
54.04
43.62
46.65
66.22
28.32
50.84
51.11
51.56
62.65
41.95
42.4
58.18
128.26
51.64
44.29
67.47
67.61
55.78
81.26
25.24
30.19
79.91
46.18
75.6
44.57
